CURR_TIME,STATUS,Status code,Longitude,Latitude
2015-Mar-02 14:00:02,surfaced,1,-88.532757,28.822768
2015-Mar-02 14:10:00,surfaced,1,-88.512152,28.817251
2015-Mar-02 14:10:00,water column,0,-88.339172,28.730447
2015-Mar-02 14:10:00,water column,0,-88.348475,28.733189
2015-Mar-02 14:10:00,water column,0,-88.342689,28.73117
2015-Mar-02 14:10:00,surfaced,1,-88.392121,28.761959
2015-Mar-02 14:10:00,surfaced,1,-88.429555,28.775669
2015-Mar-02 14:10:00,surfaced,1,-88.450611,28.780738
2015-Mar-02 14:10:00,surfaced,1,-88.46101,28.78633
2015-Mar-02 14:10:00,surfaced,1,-88.477067,28.795466
2015-Mar-02 14:10:00,surfaced,1,-88.489213,28.803451
2015-Mar-02 14:00:01,surfaced,1,-88.513774,28.82095
2015-Mar-02 14:00:02,surfaced,1,-88.512023,28.819771
2015-Mar-02 14:00:02,surfaced,1,-88.475334,28.794391
2015-Mar-02 14:00:02,water column,0,-88.350643,28.729362
2015-Mar-02 14:00:02,water column,0,-88.351656,28.729933
2015-Mar-02 14:00:02,water column,0,-88.365494,28.735636
2015-Mar-02 14:00:02,surfaced,1,-88.379941,28.755579
2015-Mar-02 14:00:02,surfaced,1,-88.3944,28.759964
2015-Mar-02 14:00:02,surfaced,1,-88.401725,28.7615
2015-Mar-02 14:00:02,surfaced,1,-88.419449,28.771534
2015-Mar-02 14:00:02,surfaced,1,-88.43135,28.775215
2015-Mar-02 14:00:01,surfaced,1,-88.465035,28.798534
2015-Mar-02 14:00:02,surfaced,1,-88.421641,28.77302
2015-Mar-02 14:00:02,water column,0,-88.360228,28.732831
2015-Mar-02 14:00:02,water column,0,-88.365375,28.733707
2015-Mar-02 14:00:02,water column,0,-88.367062,28.733528
2015-Mar-02 14:00:02,water column,0,-88.36877,28.736661
2015-Mar-02 14:00:02,surfaced,1,-88.371893,28.740677
2015-Mar-02 14:00:02,surfaced,1,-88.378275,28.749887
2015-Mar-02 14:00:02,surfaced,1,-88.385918,28.757059
