Current Time,Status,Status code,Longitude,Latitude
2015-Mar-02 20:10:00,water column,0,-88.374819,28.727948
2015-Mar-02 20:10:00,water column,0,-88.357232,28.73423
2015-Mar-02 20:10:00,surfaced,1,-88.483192,28.867627
2015-Mar-02 20:10:00,surfaced,1,-88.510299,28.889288
2015-Mar-02 20:10:00,surfaced,1,-88.520674,28.896589
2015-Mar-02 20:10:00,surfaced,1,-88.524979,28.898979
2015-Mar-02 20:10:00,surfaced,1,-88.531632,28.902347
2015-Mar-02 20:10:00,surfaced,1,-88.532561,28.899266
2015-Mar-02 20:00:01,surfaced,1,-88.534241,28.886792
2015-Mar-02 20:00:01,surfaced,1,-88.52813,28.90084
2015-Mar-02 20:00:01,water column,0,-88.346916,28.728897
2015-Mar-02 20:00:01,water column,0,-88.364393,28.728442
2015-Mar-02 20:00:01,water column,0,-88.350262,28.726696
2015-Mar-02 20:00:01,surfaced,1,-88.392608,28.798998
2015-Mar-02 20:00:01,surfaced,1,-88.442968,28.834572
2015-Mar-02 20:00:01,surfaced,1,-88.469556,28.851607
2015-Mar-02 20:00:01,surfaced,1,-88.482822,28.865126
2015-Mar-02 20:00:01,surfaced,1,-88.499628,28.877987
2015-Mar-02 20:00:01,surfaced,1,-88.506753,28.88599
2015-Mar-02 20:00:01,surfaced,1,-88.531706,28.906306
2015-Mar-02 20:10:00,surfaced,1,-88.500784,28.879229
2015-Mar-02 20:10:00,water column,0,-88.357969,28.727766
2015-Mar-02 20:10:00,water column,0,-88.359956,28.726304
2015-Mar-02 20:10:00,water column,0,-88.35789,28.723935
2015-Mar-02 20:10:00,surfaced,1,-88.366201,28.78496
2015-Mar-02 20:10:00,surfaced,1,-88.384185,28.79622
2015-Mar-02 20:10:00,surfaced,1,-88.409642,28.812888
2015-Mar-02 20:10:00,surfaced,1,-88.416092,28.812213
2015-Mar-02 20:10:00,surfaced,1,-88.426456,28.809737
2015-Mar-02 20:10:00,surfaced,1,-88.452504,28.838235
2015-Mar-02 20:00:01,surfaced,1,-88.490591,28.881765
2015-Mar-02 20:00:01,surfaced,1,-88.426365,28.810903
2015-Mar-02 20:00:01,water column,0,-88.365968,28.731356
2015-Mar-02 20:00:01,water column,0,-88.366157,28.727507
2015-Mar-02 20:00:01,water column,0,-88.366636,28.72835
2015-Mar-02 20:00:01,surfaced,1,-88.363373,28.753181
2015-Mar-02 20:00:01,surfaced,1,-88.365781,28.779392
2015-Mar-02 20:00:01,surfaced,1,-88.368896,28.779858
2015-Mar-02 20:00:01,surfaced,1,-88.372832,28.783053
2015-Mar-02 20:00:01,surfaced,1,-88.380188,28.790503
2015-Mar-02 20:00:01,surfaced,1,-88.388838,28.795543
2015-Mar-02 20:00:01,surfaced,1,-88.411913,28.826825
2015-Mar-02 20:10:00,surfaced,1,-88.383174,28.794459
2015-Mar-02 20:10:00,water column,0,-88.367608,28.736306
2015-Mar-02 20:10:00,water column,0,-88.371046,28.733655
2015-Mar-02 20:10:00,water column,0,-88.374303,28.729956
2015-Mar-02 20:10:00,surfaced,1,-88.365636,28.748697
2015-Mar-02 20:10:00,surfaced,1,-88.36493,28.760286
2015-Mar-02 20:10:00,surfaced,1,-88.364987,28.76384
2015-Mar-02 20:10:00,surfaced,1,-88.36655,28.773602
2015-Mar-02 20:10:00,surfaced,1,-88.367356,28.777036
2015-Mar-02 20:10:00,surfaced,1,-88.366479,28.780615
2015-Mar-02 20:10:00,water column,0,-88.368896,28.740942
2015-Mar-02 20:10:00,water column,0,-88.376232,28.73774
